slug,title,year,runtime_mins,genres,countries,languages,avg_rating,num_ratings,num_reviews,directors,cast,themes,letterboxd_url,date_scraped,lists,num_lists_appeared_in
big-eden,Letterboxd — Your life in film,,119,,USA,English,,,,,,Moving relationship stories|Emotional LGBTQ relationships|Emotional teen coming-of-age stories|Captivating relationships and charming romance|Charming romances and delightful chemistry|Heartfelt and sentimental family stories,https://letterboxd.com/film/big-eden/,2026-05-03T15:33:14+00:00,ultimate_comfort,1
big-hero-6,Letterboxd — Your life in film,,102,,USA,English,,,,,,Epic heroes|Underdogs and coming of age|Crude humor and satire|Superheroes in action-packed battles with villains|Kids' animated fun and adventure|Emotional and captivating fantasy storytelling|Adorable animals and heartwarming families|Quirky and endearing relationships,https://letterboxd.com/film/big-hero-6/,2026-05-03T15:33:16+00:00,heartwarming|ultimate_comfort,2
the-big-lebowski,Letterboxd — Your life in film,,117,,UK|USA,English|Hebrew (modern)|Spanish|German,,,,,,"Crude humor and satire|Gags, jokes, and slapstick humor|Funny jokes and crude humor|Amusing jokes and witty satire|Dreamlike, quirky, and surreal storytelling|Laugh-out-loud relationship entanglements",https://letterboxd.com/film/the-big-lebowski/,2026-05-03T15:33:18+00:00,comfort_izzy|ultimate_comfort,2
big-night,Letterboxd — Your life in film,,109,,USA,English|Italian,,,,,,Humanity and the world around us|Charming romances and delightful chemistry,https://letterboxd.com/film/big-night/,2026-05-03T15:33:20+00:00,ultimate_comfort,1
the-big-short,Letterboxd — Your life in film,,131,,USA,English,,,,,,Politics and human rights|Intense political and terrorist thrillers,https://letterboxd.com/film/the-big-short/,2026-05-03T15:33:22+00:00,ultimate_comfort,1
the-big-store,Letterboxd — Your life in film,,83,,USA,English,,,,,,"Song and dance|Crude humor and satire|Catchy songs and hilarious musical comedy|Gags, jokes, and slapstick humor|Dazzling vocal performances and musicals|Kids' animated fun and adventure|Spooky, scary comedy",https://letterboxd.com/film/the-big-store/,2026-05-03T15:33:24+00:00,ultimate_comfort,1
big-trouble-in-little-china,Letterboxd — Your life in film,,100,,USA,English|Cantonese,,,,,,"Epic heroes|Crude humor and satire|Intense combat and martial arts|Action comedy and silly heroics|Fantasy adventure, heroism, and swordplay|Superheroes in action-packed battles with villains|Gags, jokes, and slapstick humor",https://letterboxd.com/film/big-trouble-in-little-china/,2026-05-03T15:33:27+00:00,ultimate_comfort,1
billy-madison,Letterboxd — Your life in film,,90,,USA,English|French|Spanish,,,,,,"Crude humor and satire|Funny jokes and crude humor|Gags, jokes, and slapstick humor|Amusing jokes and witty satire|Catchy songs and hilarious musical comedy|Kids' animated fun and adventure",https://letterboxd.com/film/billy-madison/,2026-05-03T15:33:29+00:00,ultimate_comfort,1
the-birdcage,Letterboxd — Your life in film,,119,,USA,English|French,,,,,,"Crude humor and satire|Relationship comedy|Gags, jokes, and slapstick humor|Amusing jokes and witty satire|Funny jokes and crude humor|Catchy songs and hilarious musical comedy|Laugh-out-loud relationship entanglements",https://letterboxd.com/film/the-birdcage/,2026-05-03T15:33:31+00:00,comfort_izzy|ultimate_comfort,2
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,Letterboxd — Your life in film,,109,,USA,English,,,,,,"Epic heroes|Crime, drugs and gangsters|Action comedy and silly heroics|Superheroes in action-packed battles with villains|Intense combat and martial arts|Explosive and action-packed heroes vs. villains",https://letterboxd.com/film/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/,2026-05-03T15:33:33+00:00,ultimate_comfort,1
black-dynamite,Letterboxd — Your life in film,,85,,USA,English|Italian,,,,,,"Crude humor and satire|Action comedy and silly heroics|Gags, jokes, and slapstick humor|Explosive and action-packed heroes vs. villains|Funny jokes and crude humor|Amusing jokes and witty satire",https://letterboxd.com/film/black-dynamite/,2026-05-03T15:33:35+00:00,ultimate_comfort,1
the-black-hole,Letterboxd — Your life in film,,98,,USA,English,,,,,,"Monsters, aliens, sci-fi and the apocalypse|Imaginative space odysseys and alien encounters|Action-packed space and alien sagas|Thought-provoking sci-fi action and future technology|Superheroes in action-packed battles with villains|Creepy, chilling, and terrifying horror",https://letterboxd.com/film/the-black-hole/,2026-05-03T15:33:37+00:00,ultimate_comfort,1
blazing-saddles,Letterboxd — Your life in film,,93,,USA,English|Yiddish|German,,,,,,"Crude humor and satire|Westerns|Song and dance|Funny jokes and crude humor|Gags, jokes, and slapstick humor|Amusing jokes and witty satire|Western frontier dramas with a touch of humor|Catchy songs and hilarious musical comedy",https://letterboxd.com/film/blazing-saddles/,2026-05-03T15:33:39+00:00,ultimate_comfort,1
the-blues-brothers,Letterboxd — Your life in film,,133,,USA,English,,,,,,"Crude humor and satire|Song and dance|Gags, jokes, and slapstick humor|Catchy songs and hilarious musical comedy|Adrenaline-fueled action and fast cars|Funny jokes and crude humor|Action comedy and silly heroics",https://letterboxd.com/film/the-blues-brothers/,2026-05-03T15:33:41+00:00,ultimate_comfort,1
the-bodyguard-1992,Letterboxd — Your life in film,,129,,USA,English|Hungarian,,,,,,Song and dance|Dazzling vocal performances and musicals|Passion and romance,https://letterboxd.com/film/the-bodyguard-1992/,2026-05-03T15:33:44+00:00,ultimate_comfort,1
boogie-nights,Letterboxd — Your life in film,,156,,USA,English,,,,,,"Moving relationship stories|Intense violence and sexual transgression|Fascinating, emotional stories and documentaries|Erotic relationships and desire|Challenging or sexual themes & twists|Powerful stories of heartbreak and suffering|Quirky and endearing relationships",https://letterboxd.com/film/boogie-nights/,2026-05-03T15:33:46+00:00,ultimate_comfort,1
the-breakfast-club,Letterboxd — Your life in film,,98,,USA,English,,,,,,Underdogs and coming of age|Moving relationship stories|Student coming-of-age challenges|Teen school antics and laughter|Emotional teen coming-of-age stories|Emotional and heartfelt family dramas,https://letterboxd.com/film/the-breakfast-club/,2026-05-03T15:33:48+00:00,comfort_izzy|heartwarming|ultimate_comfort,3
brick,Letterboxd — Your life in film,,110,,USA,English,,,,,,"Thrillers and murder mysteries|Crime, drugs and gangsters|Underdogs and coming of age|Noir and dark crime dramas|Intriguing and suspenseful murder mysteries|Gritty crime and ruthless gangsters|Dreamlike, quirky, and surreal storytelling|Suspenseful crime thrillers",https://letterboxd.com/film/brick/,2026-05-03T15:33:50+00:00,ultimate_comfort,1
bridget-joness-diary,Letterboxd — Your life in film,,97,,Ireland|USA|France|UK,English,,,,,,"Relationship comedy|Crude humor and satire|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Gags, jokes, and slapstick humor|Funny jokes and crude humor|Amusing jokes and witty satire",https://letterboxd.com/film/bridget-joness-diary/,2026-05-03T15:33:52+00:00,comfort_izzy|ultimate_comfort,2
bright-eyes-1934,Letterboxd — Your life in film,,85,,USA,English,,,,,,Song and dance|Holiday joy and heartwarming Christmas|Emotional and heartfelt family dramas|Dazzling vocal performances and musicals|Heartfelt and sentimental family stories|Adorable animals and heartwarming families,https://letterboxd.com/film/bright-eyes-1934/,2026-05-03T15:33:54+00:00,ultimate_comfort,1
the-brothers-bloom,Letterboxd — Your life in film,,114,,USA,English|French|Czech|Japanese,,,,,,Relationship comedy|Humanity and the world around us|Charming romances and delightful chemistry|Captivating relationships and charming romance,https://letterboxd.com/film/the-brothers-bloom/,2026-05-03T15:33:56+00:00,ultimate_comfort,1
bull-durham,Letterboxd — Your life in film,,108,,USA,English,,,,,,"Relationship comedy|Crude humor and satire|Laugh-out-loud relationship entanglements|Inspiring sports underdog stories|Gags, jokes, and slapstick humor|Quirky and endearing relationships|Charming romances and delightful chemistry",https://letterboxd.com/film/bull-durham/,2026-05-03T15:33:59+00:00,ultimate_comfort,1
but-im-a-cheerleader,Letterboxd — Your life in film,,85,,USA,English,,,,,,Crude humor and satire|Relationship comedy|Underdogs and coming of age|Emotional LGBTQ relationships|Emotional teen coming-of-age stories|Laugh-out-loud relationship entanglements|Teen school antics and laughter|Funny jokes and crude humor,https://letterboxd.com/film/but-im-a-cheerleader/,2026-05-03T15:34:01+00:00,ultimate_comfort,1
cant-hardly-wait,Letterboxd — Your life in film,,100,,USA,English,,,,,,"Underdogs and coming of age|Crude humor and satire|Relationship comedy|Teen school antics and laughter|Laugh-out-loud relationship entanglements|Quirky and endearing relationships|Gags, jokes, and slapstick humor|Amusing jokes and witty satire",https://letterboxd.com/film/cant-hardly-wait/,2026-05-03T15:34:03+00:00,ultimate_comfort,1
captain-america-the-first-avenger,Letterboxd — Your life in film,,124,,USA,English|French|Norwegian,,,,,,High speed and special ops|Epic heroes|War and historical adventure|Superheroes in action-packed battles with villains|Explosive and action-packed heroes vs. villains|Bravery in War|Nazis and World War II|Military combat and heroic soldiers,https://letterboxd.com/film/captain-america-the-first-avenger/,2026-05-03T15:34:05+00:00,ultimate_comfort,1
captain-marvel,Letterboxd — Your life in film,,124,,USA,English,,,,,,Epic heroes|High speed and special ops|Superheroes in action-packed battles with villains|Action-packed space and alien sagas|Action comedy and silly heroics|Explosive and action-packed heroes vs. villains|Thought-provoking sci-fi action and future technology,https://letterboxd.com/film/captain-marvel/,2026-05-03T15:34:07+00:00,ultimate_comfort,1
cars,Letterboxd — Your life in film,,117,,USA,English|Italian|Japanese|Yiddish,,,,,,Crude humor and satire|Kids' animated fun and adventure|Adorable animals and heartwarming families|Holiday joy and heartwarming Christmas|Adrenaline-fueled action and fast cars|Laugh-out-loud relationship entanglements,https://letterboxd.com/film/cars/,2026-05-03T15:34:09+00:00,ultimate_comfort,1
casablanca,Letterboxd — Your life in film,,102,,USA,English|German|French|Italian,,,,,,"War and historical adventure|Moving relationship stories|Politics and human rights|Captivating relationships and charming romance|Nazis and World War II|Powerful poetic and passionate drama|Passion and romance|Political drama, patriotism, and war",https://letterboxd.com/film/casablanca/,2026-05-03T15:34:11+00:00,ultimate_comfort,1
the-castle-1997,Letterboxd — Your life in film,,85,,Australia,English,,,,,,"Crude humor and satire|Funny jokes and crude humor|Amusing jokes and witty satire|Gags, jokes, and slapstick humor|Laugh-out-loud relationship entanglements|Quirky and endearing relationships",https://letterboxd.com/film/the-castle-1997/,2026-05-03T15:34:14+00:00,ultimate_comfort,1
cats-dont-dance,Letterboxd — Your life in film,,75,,USA,English,,,,,,Song and dance|Dazzling vocal performances and musicals|Kids' animated fun and adventure|Fairy-tale fantasy and enchanted magic|Holiday joy and heartwarming Christmas|Adorable animals and heartwarming families,https://letterboxd.com/film/cats-dont-dance/,2026-05-03T15:34:16+00:00,ultimate_comfort,1
certain-women,Letterboxd — Your life in film,,107,,USA,English,,,,,,Moving relationship stories|Passion and romance|Heartbreaking and moving family drama|Enduring stories of family and marital drama,https://letterboxd.com/film/certain-women/,2026-05-03T15:34:18+00:00,ultimate_comfort,1
charade,Letterboxd — Your life in film,,113,,UK|USA,English|French|German|Italian,,,,,,Relationship comedy|Crude humor and satire|Thrillers and murder mysteries|Intriguing and suspenseful murder mysteries|Exciting spy thrillers with tense intrigue|Laugh-out-loud relationship entanglements|Charming romances and delightful chemistry|Heists and thrilling action,https://letterboxd.com/film/charade/,2026-05-03T15:34:20+00:00,ultimate_comfort,1
chef,Letterboxd — Your life in film,,114,,USA,English|Spanish,,,,,,Relationship comedy|Moving relationship stories|Charming romances and delightful chemistry|Heartfelt and sentimental family stories|Quirky and endearing relationships|Emotional and heartfelt family dramas|Laugh-out-loud relationship entanglements,https://letterboxd.com/film/chef/,2026-05-03T15:34:22+00:00,comfort_izzy|ultimate_comfort,2
a-christmas-carol-1984,Letterboxd — Your life in film,,101,,UK|USA,English,,,,,,"Horror, the undead and monster classics|Terrifying, haunted, and supernatural horror|Creepy, chilling, and terrifying horror",https://letterboxd.com/film/a-christmas-carol-1984/,2026-05-03T15:34:24+00:00,comfort_boze|ultimate_comfort,2
the-christmas-gift,Letterboxd — Your life in film,,120,,,English,,,,,,,https://letterboxd.com/film/the-christmas-gift/,2026-05-03T15:34:26+00:00,ultimate_comfort,1
chungking-express,Letterboxd — Your life in film,,103,,Hong Kong,"Cantonese|Hindi|Eastern Punjabi, Eastern Panjabi|Japanese|Chinese|Urdu|English",,,,,,Humanity and the world around us|Tragic sadness and captivating beauty|Captivating relationships and charming romance,https://letterboxd.com/film/chungking-express/,2026-05-03T15:34:28+00:00,comfort_izzy|ultimate_comfort,2
cinema-paradiso,Letterboxd — Your life in film,,155,,Italy|France,Italian,,,,,,Moving relationship stories|Humanity and the world around us|Heartfelt and sentimental family stories|Captivating relationships and charming romance|Emotional and heartfelt family dramas|Charming romances and delightful chemistry|Emotional teen coming-of-age stories,https://letterboxd.com/film/cinema-paradiso/,2026-05-03T15:34:30+00:00,comfort_izzy|ultimate_comfort,2
clue,Letterboxd — Your life in film,,94,,USA,English|French,,,,,,"Crude humor and satire|Thrillers and murder mysteries|Gags, jokes, and slapstick humor|Spooky, scary comedy|Funny jokes and crude humor|Amusing jokes and witty satire|Intriguing and suspenseful murder mysteries",https://letterboxd.com/film/clue/,2026-05-03T15:34:32+00:00,ultimate_comfort,1
clueless,Letterboxd — Your life in film,,97,,USA,English|Spanish,,,,,,Relationship comedy|Underdogs and coming of age|Crude humor and satire|Teen school antics and laughter|Laugh-out-loud relationship entanglements|Student coming-of-age challenges|Charming romances and delightful chemistry|Funny jokes and crude humor,https://letterboxd.com/film/clueless/,2026-05-03T15:34:34+00:00,comfort_izzy|ultimate_comfort,2
coco-2017,Letterboxd — Your life in film,,105,,USA,English|Spanish,,,,,,Moving relationship stories|Song and dance|Humanity and the world around us|Holiday joy and heartwarming Christmas|Adorable animals and heartwarming families|Fairy-tale fantasy and enchanted magic|Emotional and captivating fantasy storytelling|Emotional and heartfelt family dramas,https://letterboxd.com/film/coco-2017/,2026-05-03T15:34:36+00:00,comfort_izzy|heartwarming|ultimate_comfort,3
